Category,Is Hashtag,Text,Quote,Retweet Count,Favorite Count,Is Reply
music,FALSE,"""RT @NFlyingofficial: N.Flying - _Color_ Music Video

#NFlying #____ https://t.co/LROSvkXKdn""",TRUE,194,0,FALSE
music,FALSE,"""RT @billboard: Shawn Mendes' music video for #IfICantHaveYou is hot! https://t.co/TdwN1pcUbv https://t.co/gZRLlgpjNG""",FALSE,168,0,FALSE
music,FALSE,"""RT @monosouI: @torikelly @gingerol95 @bts_bighit jungkook really loves your music! glad you guys got to meet! @BTS_twt https://t.co/G5FlqZD…""",FALSE,10259,0,FALSE
music,FALSE,"""RT @byunificial: BH: First question... ""What is Eri's favorite music video of Baekhyun?"" 
Personally, when I look at you all.. I think you…""",FALSE,934,0,FALSE
music,FALSE,"""RT @soompi: WATCH: #BTS Takes #BoyWithLuv8thWin And Triple Crown On “Music Bank” https://t.co/cGNIAIHg25 https://t.co/tkoy7EHbJo""",FALSE,3009,0,FALSE
music,FALSE,"""@EconomicsinTen Fab podcast Pete &amp; Gav! Great to learn about economics and environmental protection. Perhaps… https://t.co/C3zYV4f3Gp""",FALSE,0,0,TRUE
music,FALSE,"""#TGIF CLASSIC MIXSHOW
#NP Pullin' Me Back By @ChingyFulldekk
Ft. @Tyrese

Rocking with the best @djtelesy… https://t.co/6lviNJbdJN""",FALSE,0,0,FALSE
music,FALSE,"""Aimer _Black Bird_MUSIC VIDEO ____-___-__9_7____________________ver. https://t.co/Iph9pLPheK @YouTube____""",FALSE,0,0,FALSE
music,FALSE,"""____2 _ ___________
#____
#____
https://t.co/6GeLBOGLRi""",FALSE,0,0,FALSE
music,FALSE,"""__Mystical Night____https://t.co/cClptcM4f0________ _____________________II______________Music Video_
https://t.co/ACwk98AnpT
__________""",FALSE,0,0,FALSE
music,FALSE,"""RT @aj_mclean: The girls love this song @taylorswift @brendonurie ...I mean, I do too...killer tune guys!! full vid in my story...
Thanks @…""",FALSE,639,0,FALSE
music,FALSE,"""RT @monosouI: @torikelly @gingerol95 @bts_bighit jungkook really loves your music! glad you guys got to meet! @BTS_twt https://t.co/G5FlqZD…""",FALSE,10259,0,FALSE
music,FALSE,"""RT @BigHitEnt: #_________ #TOMORROW_X_TOGETHER #TXT #TheDreamChapter #STAR #CatAndDog #___ 

_Apple: https://t.co/otldtxcDpV
_Spotify: http…""",FALSE,5050,0,FALSE
music,FALSE,"""RT @story051106: [HQ] 190424 The Fact Music Awards #__ #_____DnE #_____ #TMA 
@AllRiseSilver
  (4) https://t.co/15dHMpLQ0v""",FALSE,62,0,FALSE
music,FALSE,"""RT @blvcksnow_twt: 190501 Billboard Music Awards 
______
#_____ #_ #__ #TAEHYUNG #V #BTS #BBMAs 

Cr. visionoflove_95 https://t.co/tz8VhiV4qX""",FALSE,451,0,FALSE
music,FALSE,"""__________________________________________""",FALSE,0,0,FALSE
music,FALSE,"""The National: 'Everything you think is permanent can be erased' https://t.co/B3yZeaOJ6F""",FALSE,0,2,FALSE
music,FALSE,"""RT @_candyclover: #BoyWithLuv _______ 8 ________________ @BTS_twt _________ Music Bank #BoyWithLuv8thWin 

__________________ 4142
________________…""",FALSE,3435,0,FALSE
music,FALSE,"""RT @BillboardArg: Luego de cantar en vivo en la ceremonia de los Billboard Latin Music Awards 2019, @Anitta desembarca en Argentina para da…""",FALSE,211,0,FALSE
music,FALSE,"""RT @nayeonpics: ____
190503 Music Bank https://t.co/qqpknXv4tk""",FALSE,157,0,FALSE
music,FALSE,"""RT @soompi: WATCH: #BTS Takes #BoyWithLuv8thWin And Triple Crown On “Music Bank” https://t.co/cGNIAIHg25 https://t.co/tkoy7EHbJo""",FALSE,3010,0,FALSE
music,FALSE,"""to wait for them__. And now all the hardwork has paid off,the world knows us, it really does__ Always been humble and… https://t.co/xdV2Lxr07d""",FALSE,0,0,TRUE
music,FALSE,"""RT @btsvotingteam01: Current music show wins for Boy With Luv.

Music Bank ______
Music Core ____
Show Champion __
MCountdown __
Inkigayo __

Boy W…""",FALSE,3210,0,FALSE
music,FALSE,"""@LewisCapaldi Am so proud of the talent you have to write these bangers! Will there be a music video? X""",FALSE,0,0,TRUE
music,FALSE,"""RT @BigHitEnt: #_________ #TOMORROW_X_TOGETHER #TXT #TheDreamChapter #STAR #CatAndDog #___ 

_Apple: https://t.co/otldtxcDpV
_Spotify: http…""",FALSE,5050,0,FALSE
music,FALSE,"""NP: @amonarath has dropped a new album.  Enjoy! ______
#BERSERKER
 https://t.co/cRuD9H2rOF""",FALSE,0,0,FALSE
